,AAPL,AMZN,GOOGL,MSFT
2021-02-26,118.5549006022676,154.35304905326228,99.80305525312045,224.65395564273402
2021-03-01,124.74956028044909,157.11293895971735,103.46717094462676,229.21429858500426
2021-03-02,122.43899298725093,154.80494037406214,103.7312698939454,226.77376840365613
2021-03-03,119.8466480209318,150.03341348203705,102.2719802051909,222.14489720903194
2021-03-04,117.74331869432123,148.42859840279198,102.10514931277007,220.2701557328601
2021-03-05,118.71071825327762,149.79032703158325,104.43778435748652,223.00141973480254
2021-03-08,113.832209796191,147.68899417063076,100.563194679435,221.55565217173324
2021-03-09,118.48423600081658,152.58619844887528,100.47606975290601,225.68723144417754
2021-03-10,117.17165922967654,152.97392727505428,101.21126718455366,225.3560845920373
2021-03-11,119.51669366339263,155.52135617667335,103.70790256630897,229.39881523443748
2021-03-12,118.02111904279361,154.53955900907488,103.4486632900807,228.64935234176215
2021-03-15,122.03081478064729,153.76708617579044,103.13113966884477,228.56890008564156
2021-03-16,121.92850205275913,154.6182866257469,104.81115074941121,229.1615508574792
2021-03-17,122.93027370508621,156.67611591487176,104.4863648582982,231.04282496832965
2021-03-18,117.7214850313173,151.3736533905661,101.0908066143129,223.7479698189761
2021-03-19,118.17657806349277,153.5209633413663,100.63022247092829,224.55772616667667
2021-03-22,119.77216073175906,155.47429476506997,99.99949290659721,227.19539110508342
2021-03-23,120.44913469334865,156.89430783140574,101.33052132743668,230.26274888527809
2021-03-24,117.35676224423321,154.30251870262768,100.83263258249637,228.55778206141872
2021-03-25,118.4268558190915,152.10748732426498,102.0657875158402,226.2586329835609
2021-03-26,118.20783177064048,152.47368541260914,101.40868361476679,228.4528621874058
2021-03-29,118.90498262427829,153.70906360314368,102.72673732095329,227.88298589663012
2021-03-30,117.37679744007482,152.7382891690833,102.30434664378625,226.165719265784
2021-03-31,119.65456343755935,154.56879096766687,102.80225305419506,227.47483877476975
2021-04-01,120.10124547230515,158.09687470434352,105.79110016766211,234.52986542397562
2021-04-05,123.31349583290492,161.43955632548472,110.18919446084956,239.89217622640876
2021-04-06,123.47051793466703,161.42240573429095,111.57974103108937,241.48459557211703
2021-04-07,125.58875302939798,163.96178789440836,112.68089377515598,242.09607029109353
2021-04-08,127.28834172662982,165.2987566887342,114.15995658654428,245.5603851726139
2021-04-09,130.5577744755334,168.80623397080606,114.13174590942454,248.11463490481466
2021-04-12,128.62791444229174,169.34114390890298,113.04747450234485,248.4581835076132
2021-04-13,131.92569514682248,170.1289878237346,112.28028416778517,251.1736839071623
2021-04-14,129.44240411579688,167.07819412847462,111.6502933933325,248.28255486462933
2021-04-15,132.06617502195172,169.04574027940504,113.54673286275248,252.2536937900459
2021-04-16,131.2306031622533,170.22707191877797,114.03888658484173,252.37485140027735
2021-04-19,132.76264753948436,168.93155049138934,115.33679799676737,252.41877414893534
2021-04-20,130.10404131839584,166.92977394020807,114.66793561833306,250.4782645527553
2021-04-21,131.5086926702716,168.13267015403477,115.10430644284237,253.4489312738067
